timedelta,P,Q
218100,-582.673461914062,-58.2673461914062
218400,-612.935852050781,-61.2935852050781
218700,-643.149780273438,-64.3149780273438
219000,-673.3095703125,-67.33095703125
219300,-703.409912109375,-70.3409912109375
219600,-733.445190429688,-73.3445190429688
219900,-763.523193359375,-76.3523193359375
220200,-823.56396484375,-82.356396484375
220500,-853.076538085938,-85.3076538085938
220800,-882.183349609375,-88.2183349609375
221100,-910.862548828125,-91.0862548828125
221400,-939.093017578125,-93.9093017578125
221700,-966.853942871094,-96.6853942871094
222000,-994.125183105469,-99.4125183105469
222300,-1020.88708496094,-102.088708496094
222600,-1047.12048339844,-104.712048339844
222900,-1072.806640625,-107.2806640625
223200,-1097.92724609375,-109.792724609375
223500,-1139.26489257812,-113.926489257812
223800,-1155.69213867188,-115.569213867188
224100,-1171.22985839844,-117.122985839844
224400,-1185.84594726562,-118.584594726562
224700,-1199.50952148438,-119.950952148438
225000,-1212.18981933594,-121.218981933594
225300,-1223.85717773438,-122.385717773438
225600,-1234.482421875,-123.4482421875
225900,-1263.70300292969,-126.370300292969
226200,-1271.63781738281,-127.163781738281
226500,-1278.44018554688,-127.844018554688
226800,-1284.08410644531,-128.408410644531
227100,-1262.16735839844,-126.216735839844
227400,-1240.1396484375,-124.01396484375
227700,-1218.01159667969,-121.801159667969
228000,-1195.79406738281,-119.579406738281
228300,-1173.49743652344,-117.349743652344
228600,-1151.13232421875,-115.113232421875
228900,-1113.89660644531,-111.389660644531
229200,-1091.91479492188,-109.191479492188
229500,-1069.89929199219,-106.989929199219
229800,-1047.85949707031,-104.785949707031
230100,-1025.8046875,-102.58046875
230400,-1003.74359130859,-100.374359130859
230700,-961.787902832031,-96.1787902832031
231000,-920.711608886719,-92.0711608886719
231300,-880.560607910156,-88.0560607910156
231600,-841.379516601562,-84.1379516601562
231900,-803.211364746094,-80.3211364746094
232200,-766.09765625,-76.609765625
232500,-721.887268066406,-72.1887268066406
232800,-687.544128417969,-68.7544128417969
233100,-654.370056152344,-65.4370056152344
233400,-622.397705078125,-62.2397705078125
233700,-591.6572265625,-59.16572265625
234000,-562.176391601562,-56.2176391601562
234300,-541.629150390625,-54.1629150390625
