timestamp,load_1_p,load_1_q,pv_1_p,pv_1_q,load_2_p,load_2_q,pv_2_p,pv_2_q,load_3_p,load_3_q,pv_3_p,pv_3_q,load_4_p,load_4_q,pv_4_p,pv_4_q,load_5_p,load_5_q,pv_5_p,pv_5_q
61,0.817253845608563,0.3202967859309251,-1.0381073680188497,-0.0,0.3602825745682888,0.14120135534536624,-1.0381073680188497,-0.0,0.17453347969264543,0.06840287492470257,-1.0381073680188497,-0.0,0.07692794732176778,0.03014947486368557,-1.0381073680188497,-0.0,0.1263712154453708,0.04952719936263662,-1.0381073680188497,-0.0
62,0.7304884100092153,0.2862918188063304,-1.134604852575941,-0.0,0.3602825745682888,0.14120135534536624,-1.134604852575941,-0.0,0.17453347969264543,0.06840287492470257,-1.134604852575941,-0.0,0.07692794732176778,0.03014947486368557,-1.134604852575941,-0.0,0.1263712154453708,0.04952719936263662,-1.134604852575941,-0.0
63,0.7304884100092153,0.2862918188063304,-1.2632936381583137,-0.0,0.3602825745682888,0.14120135534536624,-1.2632936381583137,-0.0,0.17453347969264543,0.06840287492470257,-1.2632936381583137,-0.0,0.07692794732176778,0.03014947486368557,-1.2632936381583137,-0.0,0.1263712154453708,0.04952719936263662,-1.2632936381583137,-0.0
64,0.7304884100092153,0.2862918188063304,-1.4356556072088136,-0.0,0.3602825745682888,0.14120135534536624,-1.4356556072088136,-0.0,0.17453347969264543,0.06840287492470257,-1.4356556072088136,-0.0,0.07692794732176778,0.03014947486368557,-1.4356556072088136,-0.0,0.1263712154453708,0.04952719936263662,-1.4356556072088136,-0.0
65,0.7304884100092153,0.2862918188063304,-1.9419856078456346,-0.0,0.3602825745682888,0.14120135534536624,-1.9419856078456346,-0.0,0.17453347969264543,0.06840287492470257,-1.9419856078456346,-0.0,0.07692794732176778,0.03014947486368557,-1.9419856078456346,-0.0,0.8024572180781044,0.3144977159527425,-1.9419856078456346,-0.0
66,0.15630538030764868,0.06125894812886547,-2.765204101127173,-0.0,0.3602825745682888,0.14120135534536624,-2.765204101127173,-0.0,0.17453347969264543,0.06840287492470257,-2.765204101127173,-0.0,0.13448144865138661,0.052705748650591064,-2.765204101127173,-0.0,1.3466432645897326,0.5277742182080964,-2.765204101127173,-0.0
67,0.15630538030764868,0.06125894812886547,-3.099535120677577,-0.0,0.3602825745682888,0.14120135534536624,-3.099535120677577,-0.0,0.17453347969264543,0.06840287492470257,-3.099535120677577,-0.0,0.364695453969862,0.14293084379821305,-3.099535120677577,-0.0,1.3466432645897326,0.5277742182080964,-3.099535120677577,-0.0
68,0.15630538030764868,0.06125894812886547,-2.63108960071324,-0.0,0.3602825745682888,0.14120135534536624,-2.63108960071324,-0.0,0.5637760702524698,0.22095419220960527,-2.63108960071324,-0.0,0.364695453969862,0.14293084379821305,-2.63108960071324,-0.0,1.2526546731022379,0.49093836368213545,-2.63108960071324,-0.0
69,0.15630538030764868,0.06125894812886547,-3.1312488059606443,-0.0,0.3602825745682888,0.14120135534536624,-3.1312488059606443,-0.0,0.823271130625686,0.32265507039954044,-3.1312488059606443,-0.0,0.2495884513106243,0.09781829622440205,-3.1312488059606443,-0.0,0.8767003071522598,0.3435949455782915,-3.1312488059606443,-0.0
70,0.15630538030764868,0.06125894812886547,-3.5217474367955166,-0.0,0.3602825745682888,0.14120135534536624,-3.5217474367955166,-0.0,0.823271130625686,0.32265507039954044,-3.5217474367955166,-0.0,0.07692794732176778,0.03014947486368557,-3.5217474367955166,-0.0,0.1263712154453708,0.04952719936263662,-3.5217474367955166,-0.0
